week,US,CA,GB,DE,FR,IT,AU,JP,IN
2004/01/04,0,0,0,0,0,0,0,0,0
2004/01/11,8,14,-35,45,-25,0,25,-2,0
2004/01/18,0,21,-16,48,-21,0,6,-8,0
2004/01/25,24,45,-11,58,-19,0,2,10,0
2004/02/01,16,45,-17,91,-15,-100,-19,-2,0
2004/02/08,12,17,-23,39,-10,-100,-26,12,0
2004/02/15,20,66,-10,82,-21,-100,2,-2,0
2004/02/22,20,31,-19,112,-21,-100,-6,-6,0
2004/02/29,16,14,-12,145,-100,-100,8,67,0
2004/03/07,52,59,-28,30,-100,-100,-8,60,0
2004/03/14,44,55,-16,30,-100,-100,-17,15,0
2004/03/21,20,66,-5,58,-100,-100,-25,62,2
2004/03/28,24,79,-20,-15,-100,-100,-15,27,6
2004/04/04,12,10,-12,106,-12,-100,-34,10,9
2004/04/11,40,62,-23,118,-8,-100,-47,92,4
2004/04/18,44,59,-17,64,-4,-100,-6,13,4
2004/04/25,28,31,-35,76,-2,-100,-9,31,-9
2004/05/02,40,14,-26,76,-35,-100,-17,46,-9
2004/05/09,48,14,-35,136,-2,-100,-23,10,-26
2004/05/16,0,14,-28,48,29,-100,4,-21,-100
2004/05/23,32,14,-37,58,-23,-100,2,21,-100
2004/05/30,32,24,-16,88,-23,-100,-13,12,-100
2004/06/06,40,0,-23,124,-23,-100,-8,19,-100
2004/06/13,32,62,-42,-6,-23,-100,-32,19,-100
2004/06/20,24,38,-19,64,-27,-100,-23,6,-4
2004/06/27,20,-10,-23,112,-31,-100,-4,-2,-34
2004/07/04,24,10,-5,115,-31,-100,0,2,-34
2004/07/11,52,3,-30,61,-25,-100,-15,62,-30
2004/07/18,44,28,-25,109,-19,-100,-11,8,-19
2004/07/25,20,45,-19,82,-15,-100,-23,38,-11
2004/08/01,28,-7,-15,106,-8,-100,8,25,-30
2004/08/08,28,45,-11,33,-21,-100,-6,52,-4
2004/08/15,28,34,-21,103,-21,-100,-9,19,-15
2004/08/22,24,38,-16,73,-10,-100,4,12,-19
2004/08/29,40,72,-17,145,2,20,6,29,-19
2004/09/05,44,86,2,106,-6,-19,2,29,-38
2004/09/12,32,52,7,124,-21,-19,11,29,-38
2004/09/19,44,34,-12,76,8,9,-2,37,-36
2004/09/26,40,38,-6,130,-8,-17,4,15,-23
2004/10/03,56,21,-9,79,-21,-26,0,38,-11
2004/10/10,52,34,23,109,4,-25,25,42,-100
2004/10/17,48,59,-10,91,6,-22,-4,38,-100
2004/10/24,24,7,-11,142,-29,-21,-6,6,-100
2004/10/31,32,17,-19,24,-37,-20,-8,69,-100
2004/11/07,68,97,-6,139,-29,-5,6,31,-100
2004/11/14,44,-3,-6,121,-21,2,4,40,-100
2004/11/21,24,10,-2,112,-12,9,-8,12,-21
2004/11/28,36,34,-26,136,-46,16,23,10,-6
2004/12/05,12,17,-20,155,-35,23,8,10,-13
2004/12/12,48,17,-15,48,-48,-26,21,38,0
2004/12/19,40,28,-7,106,-48,-26,-9,52,-17
2004/12/26,44,69,-15,45,-21,-17,25,8,-17
2005/01/02,52,-7,-22,124,6,-10,25,19,-17
2005/01/09,40,48,-2,103,0,0,2,15,-38
2005/01/16,24,66,7,148,-27,-42,38,4,-23
2005/01/23,36,62,-17,45,-46,-22,6,10,-34
2005/01/30,36,10,-16,100,-42,-30,9,2,-34
2005/02/06,36,62,-1,115,-40,-30,30,15,-36
2005/02/13,40,55,1,158,-23,-30,26,10,-21
2005/02/20,44,31,-5,76,-29,-2,26,17,-2
2005/02/27,44,52,-17,64,-31,-25,53,25,-34
2005/03/06,44,31,-16,112,38,-20,26,27,-11
2005/03/13,52,76,-2,103,-17,-35,15,48,-23
2005/03/20,36,31,-15,173,-33,-19,6,23,-23
2005/03/27,32,59,-12,152,-21,-1,0,48,-28
2005/04/03,64,-24,-26,42,-50,-40,28,56,19
2005/04/10,52,72,-30,127,-10,-40,34,23,0
2005/04/17,28,55,-21,103,-17,-51,28,6,-55
2005/04/24,24,48,-28,118,-33,-35,23,31,-55
2005/05/01,44,62,-26,97,-40,-19,15,65,-28
2005/05/08,36,21,-20,112,-52,-32,19,8,-43
2005/05/15,32,83,-19,82,-15,-32,9,25,-6
2005/05/22,24,24,-16,148,-50,-32,60,4,-45
2005/05/29,52,28,-19,27,-54,-32,32,29,-45
2005/06/05,32,69,-26,33,-42,-52,13,19,-38
2005/06/12,32,48,-23,70,-42,-42,23,21,-23
2005/06/19,48,38,-32,82,-27,-51,42,35,-30
2005/06/26,52,52,-28,58,-50,-43,32,17,-53
2005/07/03,36,66,-31,55,-40,-32,28,15,-4
2005/07/10,24,14,-32,61,-50,-5,30,17,-36
2005/07/17,32,62,-33,124,-40,-26,15,21,-36
2005/07/24,40,52,-23,121,-6,-31,11,13,-43
2005/07/31,36,28,-25,79,108,-100,36,42,-57
2005/08/07,48,55,-19,88,-27,-100,34,23,-36
2005/08/14,44,41,-12,112,-19,-100,36,25,-43
2005/08/21,40,14,-4,109,-10,-100,13,40,-51
2005/08/28,16,28,-5,164,-56,-100,34,17,-19
2005/09/04,40,45,-2,97,-42,-51,28,12,-47
2005/09/11,88,124,17,161,8,-56,89,29,-19
2005/09/18,52,45,-7,103,-35,-48,64,37,-11
2005/09/25,48,72,0,118,-48,-52,45,17,11
